;postal_code;latitude;longitude
935;4072;48.2835;14.094935
936;4073;48.2973;14.179686666666669
937;4074;48.2969;14.005757894736842
938;4075;48.2639;14.0228
939;4076;48.2969;13.995033333333332
942;4081;48.4097;13.938697368421057
943;4082;48.402;13.983933333333333
944;4083;48.4241;13.907141025641026
945;4084;48.402;13.89899
946;4085;48.402;13.88909375
947;4090;48.5294;13.6462
948;4091;48.5417;13.63455
949;4092;48.5583;13.590404347826086
950;4100;48.3356;14.190885714285711
951;4101;48.3517;14.079808333333334
952;4102;48.3266;14.1173
953;4111;48.3521;14.145058333333331
954;4112;48.3857;14.127199999999998
955;4113;48.433;14.05648
956;4114;48.4176;14.029944444444444
957;4115;48.4014;14.038590909090908
958;4116;48.4889;14.06965
959;4120;48.5007;13.99173076923077
960;4121;48.4726;13.970834615384614
961;4122;48.5225;13.985776470588236
962;4131;48.4469;13.89566111111111
963;4132;48.4826;13.897466666666666
964;4133;48.4759;13.875211764705885
965;4134;48.4826;13.879057142857144
966;4141;48.5005;13.811807692307692
967;4142;48.5227;13.796728571428572
968;4143;48.5175;13.755635714285717
969;4144;48.5514;13.792145
970;4150;48.4837;13.934532352941176
971;4151;48.5821;13.921286363636364
972;4152;48.5775;13.898342857142858
973;4153;48.5821;13.900666666666666
974;4154;48.6014;13.8484
975;4155;48.634;13.8452
976;4160;48.6519;13.945155555555557
977;4161;48.675;13.916827777777778
978;4162;48.6501;13.870225
979;4163;48.6834;13.883375
980;4164;48.7019;13.82485
981;4170;48.499;14.078728205128204
982;4171;48.5023;14.089625
983;4172;48.4989;14.12335
984;4173;48.5;14.147666666666666
985;4174;48.4504;14.09538
986;4175;48.4333;14.125
987;4180;48.4669;14.231463636363635
988;4181;48.5027;14.2149125
989;4182;48.4931;14.189655555555555
990;4183;48.5238;14.206600000000002
991;4184;48.5027;14.172132142857144
992;4190;48.5355;14.29655925925926
993;4191;48.5821;14.24674
994;4192;48.5167;14.337877777777775
995;4193;48.5355;14.364066666666668
996;4201;48.391;14.220235714285716
997;4202;48.4027;14.299528
998;4203;48.3959;14.328473913043478
999;4204;48.4833;14.325978260869563
1001;4209;48.3959;14.342948387096774
1002;4210;48.3796;14.43159
1003;4211;48.4139;14.424608695652177
1004;4212;48.3962;14.464206451612904
1006;4221;48.2851;14.413433333333332
1007;4222;48.2584;14.466611111111112
1008;4223;48.2979;14.47573
1009;4224;48.2979;14.471341379310346
1010;4225;48.2979;14.4421625
1012;4230;48.3549;14.55211304347826
1014;4232;48.396;14.51635
1015;4240;48.5085;14.455255555555556
1016;4242;48.4667;14.417238461538462
1017;4251;48.55;14.67210588235294
1018;4252;48.5424;14.786942857142858
1019;4261;48.5833;14.4705
1020;4262;48.6234;14.493281818181815
1021;4263;48.5877;14.55714285714286
1022;4264;48.5426;14.546766666666665
1023;4271;48.5222;14.651175
1024;4272;48.4601;14.713436842105262
1025;4273;48.4464;14.746970833333334
1026;4274;48.4601;14.721094444444445
1027;4280;48.3998;14.77286153846154
1028;4281;48.3602;14.761511111111112
1029;4282;48.35;14.73403125
1030;4283;48.3667;14.700391666666668
1031;4284;48.3833;14.681206666666666
1032;4291;48.4964;14.57365
1033;4292;48.411;14.5503375
1034;4293;48.4416;14.605747368421056
1035;4294;48.4342;14.646295454545454
1036;4300;48.1333;14.5074
1037;4303;48.2;14.54445
1038;4310;48.273;14.53572142857143
1039;4311;48.273;14.55828
1040;4312;48.2711;14.528628571428571
