Zipcode,Latitude,Longitude
4890,47.9681,13.4062
4891,48.0201,13.3533
4892,48.0305,13.4257
4893,47.9137,13.3478
4894,47.9336,13.319
4901,48.0991,13.6313
4902,48.1089,13.6894
4903,48.0708,13.6614
4904,48.0822,13.7174
4906,48.1482,13.5611
4910,48.1616,13.4933
4911,48.2277,13.5048
4912,48.1839,13.4729
4920,48.138,13.4675
4921,48.2003,13.5363
4922,48.203,13.591
4923,48.1159,13.3592
4924,48.101,13.4083
4925,48.1287,13.5045
4926,48.1854,13.575
4931,48.1411,13.3485
4932,48.2046,13.3645
4933,48.2009,13.3164
4941,48.2044,13.4313
4942,48.2373,13.3587
4943,48.257,13.2954
4950,48.2434,13.2425
4951,48.2319,13.2871
4952,48.2434,13.1714
4961,48.2786,13.2284
4962,48.2737,13.1678
4963,48.2545,13.103
4970,48.2349,13.4205
4971,48.2472,13.4695
4972,48.2813,13.4744
4973,48.2772,13.4248
4974,48.3213,13.4412
4975,48.4104,13.4456
4980,48.3483,13.4087
4981,48.3301,13.3657
4982,48.3053,13.3705
4983,48.2911,13.3333
4984,48.2736,13.3761
5020,47.802,13.0476
5023,47.8213,13.0976
5026,47.7863,13.1071
5061,47.761,13.1154
5071,47.7876,12.9716
5081,47.743,13.0678
5082,47.7343,13.0064
5083,47.7157,13.0461
5084,47.7349,12.9432
5090,47.5847,12.72
5091,47.6356,12.6775
5092,47.5283,12.6956
5093,47.5179,12.8081
5101,47.8547,13.0296
5102,47.8934,13.0102
5110,47.9494,12.9362
5111,47.9852,12.9181
5112,48.0002,12.9721
5113,47.9933,12.8725
5114,47.9553,12.9664
5120,48.0248,12.8806
5121,48.0818,12.8103
5122,48.155,12.8694
5131,48.0566,12.8986
5132,48.0901,12.9136
5133,48.1411,12.9315
5134,48.1792,12.9633
5141,48.0424,12.9729
5142,48.0818,12.9867
5143,48.0706,13.0442
5144,48.1357,13.0073
5145,48.1798,13.038
5151,47.9634,13.0065
5152,48.0148,13.0163
5161,47.8718,13.0605
5162,47.9345,13.0537
5163,47.9823,13.1126
5164,47.9671,13.0593
5165,47.9889,13.0668
5166,48.0165,13.0716
5201,47.9038,13.1036
5202,47.9237,13.2331
5203,47.9443,13.1726
5204,47.975,13.2976
5205,47.954,13.1523
5211,48.0188,13.2318
5212,48.0407,13.2804
5221,48.0047,13.1694
5222,48.06,13.2111
5223,48.076,13.1386
5224,48.0728,13.097
5225,48.0509,13.1485
5230,48.1019,13.1481
5231,48.1131,13.1792
5232,48.0448,13.0989
5233,48.1183,13.0718
5241,48.1415,13.2188
5242,48.1014,13.2841
5251,48.1596,13.2643
5252,48.1664,13.313
5261,48.1564,13.1296
5270,48.1955,13.1303
5271,48.195,13.1623
5272,48.1881,13.194
5273,48.2053,13.2625
5274,48.1991,13.0791
5280,48.2386,13.0514
5282,48.2246,13.0092
5300,47.847,13.0854
5301,47.8547,13.1532
5302,47.8936,13.2054
5303,47.849,13.2409
